geo_id,census_tract,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M
1400000US16055000101,Census Tract 1.01; Kootenai County; Idaho,294500.0,,6.1,24.6,23.7,0.0
1400000US16055000102,Census Tract 1.02; Kootenai County; Idaho,335700.0,971.0,12.3,43.5,12.7,2.1
1400000US16055000201,Census Tract 2.01; Kootenai County; Idaho,387800.0,1607.0,5.2,42.3,25.4,0.0
1400000US16055000202,Census Tract 2.02; Kootenai County; Idaho,414700.0,,7.0,52.0,27.5,2.2
1400000US16055000203,Census Tract 2.03; Kootenai County; Idaho,320400.0,984.0,21.4,30.0,22.9,0.0
1400000US16055000301,Census Tract 3.01; Kootenai County; Idaho,327900.0,907.0,11.9,32.0,21.6,1.6
1400000US16055000303,Census Tract 3.03; Kootenai County; Idaho,296100.0,1222.0,16.9,35.4,10.7,2.5
1400000US16055000304,Census Tract 3.04; Kootenai County; Idaho,311100.0,1127.0,20.6,33.7,15.4,4.0
1400000US16055000401,Census Tract 4.01; Kootenai County; Idaho,272700.0,951.0,24.3,22.6,13.3,6.4
1400000US16055000402,Census Tract 4.02; Kootenai County; Idaho,287900.0,824.0,22.5,32.5,11.1,2.0
1400000US16055000501,Census Tract 5.01; Kootenai County; Idaho,244900.0,1097.0,20.8,40.3,1.7,0.0
1400000US16055000502,Census Tract 5.02; Kootenai County; Idaho,335000.0,1302.0,37.5,39.4,16.0,0.0
1400000US16055000503,Census Tract 5.03; Kootenai County; Idaho,272200.0,1568.0,39.0,41.2,0.0,0.0
1400000US16055000601,Census Tract 6.01; Kootenai County; Idaho,347600.0,1128.0,15.4,33.3,20.8,3.8
1400000US16055000602,Census Tract 6.02; Kootenai County; Idaho,270200.0,1022.0,40.4,32.9,3.4,3.4
1400000US16055000701,Census Tract 7.01; Kootenai County; Idaho,295900.0,1380.0,48.4,40.2,5.7,1.9
1400000US16055000702,Census Tract 7.02; Kootenai County; Idaho,269100.0,,3.9,27.0,6.8,5.5
1400000US16055000703,Census Tract 7.03; Kootenai County; Idaho,341200.0,1459.0,28.7,44.2,17.5,0.0
1400000US16055000704,Census Tract 7.04; Kootenai County; Idaho,362800.0,1722.0,22.6,37.7,24.4,0.0
1400000US16055000800,Census Tract 8; Kootenai County; Idaho,365900.0,1100.0,40.0,46.0,17.0,4.6
1400000US16055000901,Census Tract 9.01; Kootenai County; Idaho,135500.0,932.0,77.7,8.8,0.0,0.0
1400000US16055000902,Census Tract 9.02; Kootenai County; Idaho,242900.0,885.0,75.6,37.5,9.1,0.0
1400000US16055001002,Census Tract 10.02; Kootenai County; Idaho,372800.0,1066.0,10.8,38.5,27.9,0.6
1400000US16055001003,Census Tract 10.03; Kootenai County; Idaho,307000.0,413.0,18.8,31.2,20.7,0.0
1400000US16055001004,Census Tract 10.04; Kootenai County; Idaho,262100.0,1360.0,24.5,24.6,5.3,0.0
1400000US16055001100,Census Tract 11; Kootenai County; Idaho,441400.0,712.0,24.1,52.2,28.0,5.9
