geo_id,diff_state,diff_County,foreign,unemploy,poverty,rent,age,under18,over65,more_high_school,male
1400000US16055000101,8.6,0.2,0.0,1.9,6.3,,54.0,16.4,24.5,69.9,52.3
1400000US16055000102,8.1,0.6,0.5,3.8,3.7,9.71,47.3,20.1,18.4,64.0,49.8
1400000US16055000201,3.9,0.7,1.6,2.5,7.4,16.07,37.2,23.2,16.7,68.89999999999999,46.9
1400000US16055000202,0.8,0.1,2.7,3.7,6.7,,54.3,18.9,21.0,71.3,49.8
1400000US16055000203,3.1,0.0,1.6,1.2,14.0,9.84,50.4,17.5,20.9,51.99999999999999,50.6
1400000US16055000301,1.7,0.3,1.2,2.0,2.8,9.07,44.0,19.1,21.7,58.300000000000004,53.8
1400000US16055000303,4.6,4.7,2.6,3.2,5.4,12.22,36.5,29.2,11.4,59.199999999999996,50.3
1400000US16055000304,1.0,0.1,2.1,14.0,8.1,11.27,36.5,28.2,11.3,61.3,46.3
1400000US16055000401,4.5,0.0,2.9,7.9,16.6,9.51,35.1,25.0,13.1,52.7,51.7
1400000US16055000402,2.3,2.1,1.3,4.5,10.7,8.24,34.4,30.9,11.5,62.4,45.7
1400000US16055000501,4.7,2.1,0.4,3.9,8.6,10.97,34.6,33.4,11.6,56.9,43.8
1400000US16055000502,0.3,0.0,1.1,0.9,9.2,13.02,38.8,28.7,17.4,60.0,49.1
1400000US16055000503,3.9,3.2,1.4,1.9,14.7,15.68,26.8,28.2,4.6,75.10000000000001,53.8
1400000US16055000601,11.9,0.8,2.9,2.5,14.4,11.28,47.4,19.9,27.9,65.6,45.6
1400000US16055000602,6.3,0.3,1.6,3.9,16.5,10.22,36.0,27.8,12.9,69.39999999999999,51.1
1400000US16055000701,2.8,0.3,5.4,4.0,8.5,13.8,39.9,20.0,23.6,71.0,53.5
1400000US16055000702,2.6,0.0,1.1,5.6,7.9,,41.4,24.1,25.0,58.4,55.9
1400000US16055000703,17.8,1.8,0.4,1.7,6.3,14.59,34.6,26.5,13.2,79.3,47.6
1400000US16055000704,9.1,0.0,7.8,1.5,3.1,17.22,37.5,28.7,8.8,69.2,53.5
1400000US16055000800,6.3,2.5,0.9,3.5,7.5,11.0,49.0,14.7,27.4,69.8,48.4
1400000US16055000901,2.5,0.2,5.6,5.0,14.4,9.32,28.7,18.8,21.3,51.8,52.6
1400000US16055000902,3.6,0.6,2.7,1.8,22.8,8.85,50.1,12.0,32.0,55.699999999999996,52.9
1400000US16055001002,8.5,0.0,3.1,6.6,6.1,10.66,45.1,20.1,18.3,72.4,48.8
1400000US16055001003,0.3,0.0,3.4,0.4,6.4,4.13,46.6,16.2,19.7,72.2,51.1
1400000US16055001004,4.2,0.1,3.7,1.0,7.7,13.6,42.4,20.0,32.7,68.3,45.1
1400000US16055001100,1.0,3.3,2.4,1.4,4.4,7.12,49.9,18.1,22.4,68.5,52.6
1400000US16055001201,3.2,0.2,1.0,1.7,14.8,11.88,35.0,33.0,14.2,73.4,51.0
1400000US16055001202,4.7,5.3,3.3,1.6,15.7,8.42,41.6,21.6,18.8,69.89999999999999,44.8
1400000US16055001300,3.1,0.2,1.6,4.6,18.6,10.95,32.6,24.4,14.4,58.199999999999996,45.8
1400000US16055001400,11.2,3.6,2.9,5.5,16.1,11.6,41.6,11.4,15.1,74.7,53.8
1400000US16055001500,17.0,2.3,1.2,3.6,7.7,10.27,37.5,17.1,13.0,60.8,53.9
1400000US16055001600,6.5,2.8,5.9,3.3,9.3,9.91,38.5,17.6,15.8,75.8,48.7
1400000US16055001700,2.9,0.7,2.0,1.8,5.7,8.31,46.8,20.6,26.5,75.60000000000001,50.0
1400000US16055001801,9.7,0.6,1.7,3.0,5.7,17.45,51.5,24.8,34.6,89.4,46.7
1400000US16055001802,9.4,0.5,4.1,0.5,1.6,11.09,49.3,20.0,23.4,76.5,48.6
1400000US16055001901,4.6,0.9,2.2,0.0,11.6,9.05,56.1,19.5,34.2,55.1,51.0
1400000US16055001902,3.5,0.4,7.8,4.9,3.2,7.44,61.9,4.5,32.4,69.7,57.8
1400000US16055002000,5.5,0.0,0.6,7.0,3.9,12.26,50.7,20.7,20.0,81.0,47.7
1400000US16055940000,1.8,0.0,2.7,5.7,15.3,6.95,55.8,17.8,31.5,65.0,52.8
1400000US53063000201,2.1,3.4,8.7,4.1,16.4,9.22,39.9,20.9,14.4,54.6,53.0
