geo_id,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_diff_state,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US16055000101,26.7,22.4,16.6,21.6,9.3,8.6,0.0,1.9,6.3,2.945,,6.1,24.6,23.7,0.0,54.0,52.3,2.4,2.8,7.2,21.1,12.9,9.3,16.4,24.5
1400000US16055000102,32.1,32.1,13.2,12.7,6.0,8.1,0.5,3.8,3.7,3.357,9.71,12.3,43.5,12.7,2.1,47.3,49.8,5.0,8.5,12.5,12.2,9.8,12.1,20.1,18.4
1400000US16055000201,27.2,31.9,8.4,19.3,9.3,3.9,1.6,2.5,7.4,3.878,16.07,5.2,42.3,25.4,0.0,37.2,46.9,7.7,14.5,11.6,14.2,6.3,4.3,23.2,16.7
1400000US16055000202,23.7,21.7,17.7,18.0,13.9,0.8,2.7,3.7,6.7,4.147,,7.0,52.0,27.5,2.2,54.3,49.8,2.3,4.9,8.3,17.8,11.8,12.9,18.9,21.0
1400000US16055000203,39.1,21.9,6.3,20.4,3.4,3.1,1.6,1.2,14.0,3.204,9.84,21.4,30.0,22.9,0.0,50.4,50.6,7.4,8.5,7.5,14.8,9.4,11.2,17.5,20.9
1400000US16055000301,32.2,31.0,9.9,11.8,5.6,1.7,1.2,2.0,2.8,3.279,9.07,11.9,32.0,21.6,1.6,44.0,53.8,5.5,13.5,9.9,13.7,6.1,6.9,19.1,21.7
1400000US16055000303,30.2,33.8,8.8,12.5,4.1,4.6,2.6,3.2,5.4,2.961,12.22,16.9,35.4,10.7,2.5,36.5,50.3,3.3,11.9,19.0,14.6,2.3,6.5,29.2,11.4
1400000US16055000304,31.5,33.2,11.4,11.9,4.8,1.0,2.1,14.0,8.1,3.111,11.27,20.6,33.7,15.4,4.0,36.5,46.3,3.7,15.7,8.5,18.4,6.7,6.1,28.2,11.3
1400000US16055000401,31.1,29.4,6.1,14.2,3.0,4.5,2.9,7.9,16.6,2.727,9.51,24.3,22.6,13.3,6.4,35.1,51.7,4.1,18.1,10.8,14.2,5.7,6.3,25.0,13.1
1400000US16055000402,30.1,30.2,10.6,16.4,5.2,2.3,1.3,4.5,10.7,2.879,8.24,22.5,32.5,11.1,2.0,34.4,45.7,4.6,13.0,18.7,9.1,4.7,4.9,30.9,11.5
