geo_id,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born
1400000US16055000101,26.7,22.4,16.6,21.6,9.3,89.7,10.3,10.3,1.5,8.8,0.2,8.6,0.0,100.0,0.0
1400000US16055000102,32.1,32.1,13.2,12.7,6.0,88.5,11.5,11.5,2.8,8.7,0.6,8.1,0.0,99.5,0.5
1400000US16055000201,27.2,31.9,8.4,19.3,9.3,84.4,15.6,14.7,10.1,4.6,0.7,3.9,0.9,98.4,1.6
1400000US16055000202,23.7,21.7,17.7,18.0,13.9,91.5,8.5,8.5,7.6,0.9,0.1,0.8,0.0,97.3,2.7
1400000US16055000203,39.1,21.9,6.3,20.4,3.4,95.0,5.0,5.0,1.9,3.1,0.0,3.1,0.0,98.4,1.6
1400000US16055000301,32.2,31.0,9.9,11.8,5.6,85.2,14.8,14.6,12.6,2.0,0.3,1.7,0.2,98.8,1.2
1400000US16055000303,30.2,33.8,8.8,12.5,4.1,78.3,21.7,21.7,12.5,9.2,4.7,4.6,0.0,97.4,2.6
1400000US16055000304,31.5,33.2,11.4,11.9,4.8,88.5,11.5,11.5,10.4,1.1,0.1,1.0,0.0,97.9,2.1
1400000US16055000401,31.1,29.4,6.1,14.2,3.0,91.3,8.7,8.3,3.8,4.5,0.0,4.5,0.4,97.1,2.9
1400000US16055000402,30.1,30.2,10.6,16.4,5.2,88.4,11.6,11.5,7.1,4.4,2.1,2.3,0.2,98.7,1.3
1400000US16055000501,32.2,30.2,4.1,14.5,8.1,86.3,13.7,13.7,6.9,6.8,2.1,4.7,0.0,99.6,0.4
1400000US16055000502,31.4,40.2,6.9,10.7,2.2,94.3,5.7,5.7,5.4,0.3,0.0,0.3,0.0,98.9,1.1
1400000US16055000503,19.9,35.3,16.7,16.4,6.7,68.6,31.4,31.4,24.4,7.0,3.2,3.9,0.0,98.6,1.4
1400000US16055000601,31.9,27.9,8.2,19.4,10.1,82.6,17.4,16.9,4.1,12.7,0.8,11.9,0.6,97.1,2.9
1400000US16055000602,24.2,33.8,14.3,15.8,5.5,84.2,15.8,15.8,9.2,6.5,0.3,6.3,0.0,98.4,1.6
1400000US16055000701,25.2,24.7,6.8,22.6,16.9,94.1,5.9,5.6,2.5,3.1,0.3,2.8,0.3,94.6,5.4
1400000US16055000702,25.7,31.5,11.3,13.6,2.0,88.7,11.3,11.3,8.7,2.6,0.0,2.6,0.0,98.9,1.1
1400000US16055000703,18.3,23.7,17.9,20.1,17.6,73.6,26.4,24.8,5.2,19.7,1.8,17.8,1.6,99.6,0.4
1400000US16055000704,24.8,36.8,11.2,14.0,7.2,88.0,12.0,12.0,2.8,9.1,0.0,9.1,0.0,92.2,7.8
1400000US16055000800,26.8,35.3,11.7,14.1,8.7,86.1,13.9,13.9,5.1,8.8,2.5,6.3,0.0,99.1,0.9
1400000US16055000901,34.6,27.3,10.0,12.9,1.6,75.2,24.8,24.8,22.0,2.7,0.2,2.5,0.0,94.4,5.6
