geo_id,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M
1400000US16055000101,294500.0,,6.1,24.6,23.7,0.0
1400000US16055000102,335700.0,971.0,12.3,43.5,12.7,2.1
1400000US16055000201,387800.0,1607.0,5.2,42.3,25.4,0.0
1400000US16055000202,414700.0,,7.0,52.0,27.5,2.2
1400000US16055000203,320400.0,984.0,21.4,30.0,22.9,0.0
1400000US16055000301,327900.0,907.0,11.9,32.0,21.6,1.6
1400000US16055000303,296100.0,1222.0,16.9,35.4,10.7,2.5
1400000US16055000304,311100.0,1127.0,20.6,33.7,15.4,4.0
1400000US16055000401,272700.0,951.0,24.3,22.6,13.3,6.4
1400000US16055000402,287900.0,824.0,22.5,32.5,11.1,2.0
1400000US16055000501,244900.0,1097.0,20.8,40.3,1.7,0.0
1400000US16055000502,335000.0,1302.0,37.5,39.4,16.0,0.0
1400000US16055000503,272200.0,1568.0,39.0,41.2,0.0,0.0
1400000US16055000601,347600.0,1128.0,15.4,33.3,20.8,3.8
1400000US16055000602,270200.0,1022.0,40.4,32.9,3.4,3.4
1400000US16055000701,295900.0,1380.0,48.4,40.2,5.7,1.9
1400000US16055000702,269100.0,,3.9,27.0,6.8,5.5
1400000US16055000703,341200.0,1459.0,28.7,44.2,17.5,0.0
1400000US16055000704,362800.0,1722.0,22.6,37.7,24.4,0.0
1400000US16055000800,365900.0,1100.0,40.0,46.0,17.0,4.6
1400000US16055000901,135500.0,932.0,77.7,8.8,0.0,0.0
1400000US16055000902,242900.0,885.0,75.6,37.5,9.1,0.0
1400000US16055001002,372800.0,1066.0,10.8,38.5,27.9,0.6
1400000US16055001003,307000.0,413.0,18.8,31.2,20.7,0.0
1400000US16055001004,262100.0,1360.0,24.5,24.6,5.3,0.0
1400000US16055001100,441400.0,712.0,24.1,52.2,28.0,5.9
1400000US16055001201,278400.0,1188.0,27.6,28.5,3.2,0.0
1400000US16055001202,207900.0,842.0,42.2,9.5,0.0,0.0
1400000US16055001300,239000.0,1095.0,44.3,26.1,2.7,0.0
1400000US16055001400,341900.0,1160.0,53.3,22.5,29.6,5.0
1400000US16055001500,299000.0,1027.0,48.1,41.4,7.0,1.2
1400000US16055001600,404700.0,991.0,40.2,24.6,20.7,14.9
1400000US16055001700,486400.0,831.0,26.6,34.9,36.1,10.9
1400000US16055001801,556200.0,1745.0,5.9,33.9,45.0,11.8
1400000US16055001802,414000.0,1109.0,16.8,47.3,30.2,6.0
1400000US16055001901,404400.0,905.0,6.6,52.4,9.2,2.9
1400000US16055001902,470000.0,744.0,6.6,42.7,36.6,3.1
1400000US16055002000,594500.0,1226.0,9.1,13.3,45.5,13.6
