geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063000201,Census Tract 2.01; Spokane County; Washington,36.5,27.4,12.9,10.2,4.1,82.7,17.3,17.3,11.8,5.4,3.4,2.1,0.0,91.3,8.7,4.1,16.4,160500.0,922.0,48.5,4.3,2.1,0.4,39.9,53.0,4.3,13.6,13.8,17.9,4.3,7.9,20.9,14.4
1400000US53063000202,Census Tract 2.02; Spokane County; Washington,24.1,38.0,16.1,10.1,6.4,78.3,21.7,21.7,11.4,10.3,4.3,5.9,0.0,95.6,4.4,14.8,27.9,173100.0,814.0,49.2,0.0,3.3,3.6,28.1,58.4,9.2,18.1,3.7,12.8,5.3,8.2,23.1,10.6
1400000US53063000301,Census Tract 3.01; Spokane County; Washington,38.1,25.5,9.9,12.3,4.9,80.5,19.5,18.0,15.0,3.0,2.4,0.6,1.6,92.7,7.3,7.1,20.3,155300.0,1135.0,34.7,0.0,0.0,0.0,35.4,53.6,9.3,15.8,18.5,8.0,6.2,8.5,23.1,10.6
1400000US53063000302,Census Tract 3.02; Spokane County; Washington,25.5,35.9,12.0,9.9,3.0,92.1,7.9,5.7,3.3,2.4,2.1,0.3,2.2,89.8,10.2,2.7,23.1,156600.0,1273.0,26.7,4.6,0.0,5.7,33.5,49.9,5.7,14.1,15.3,12.6,4.3,8.1,31.2,7.4
1400000US53063000400,Census Tract 4; Spokane County; Washington,30.2,40.0,10.0,5.3,5.8,76.9,23.1,21.2,14.7,6.5,3.6,2.9,2.0,91.5,8.5,12.3,17.1,165900.0,908.0,60.1,2.4,1.1,0.0,33.6,48.7,4.7,22.9,12.9,10.2,4.1,9.0,23.4,10.7
1400000US53063000500,Census Tract 5; Spokane County; Washington,37.2,23.4,14.3,13.4,5.6,86.6,13.4,13.2,8.4,4.8,3.6,1.2,0.2,95.3,4.7,5.5,12.0,179800.0,1076.0,33.7,9.2,2.4,1.2,37.3,49.5,5.8,16.4,13.7,12.4,7.1,5.0,23.9,14.4
1400000US53063000600,Census Tract 6; Spokane County; Washington,28.6,25.4,17.4,15.8,4.3,86.8,13.2,12.8,10.5,2.3,1.1,1.1,0.4,95.8,4.2,4.6,12.0,179400.0,1102.0,30.6,4.5,2.3,0.7,33.0,53.6,6.0,20.9,14.5,11.6,4.2,7.9,22.1,10.9
1400000US53063000700,Census Tract 7; Spokane County; Washington,17.3,35.7,12.9,18.4,6.3,84.1,15.9,15.8,15.2,0.6,0.6,0.0,0.1,99.4,0.6,7.7,7.2,182700.0,1168.0,26.2,6.2,1.8,1.2,33.1,48.4,9.0,18.1,11.3,11.6,5.0,7.7,22.9,11.8
1400000US53063000800,Census Tract 8; Spokane County; Washington,19.8,26.2,13.0,23.9,13.9,80.2,19.8,19.6,14.5,5.2,3.7,1.4,0.1,98.0,2.0,7.1,5.0,272200.0,1228.0,10.5,34.2,6.0,0.0,43.1,48.2,3.8,11.4,11.3,11.7,7.5,6.2,22.2,23.6
1400000US53063000900,Census Tract 9; Spokane County; Washington,31.6,25.5,10.4,20.0,4.6,84.0,16.0,16.0,11.2,4.8,3.2,1.6,0.0,98.9,1.1,6.3,16.4,232500.0,1159.0,27.5,10.6,0.0,0.0,43.5,47.3,3.9,8.6,12.5,14.4,6.3,10.3,24.4,17.3
1400000US53063001000,Census Tract 10; Spokane County; Washington,19.1,27.5,12.3,19.5,12.2,88.7,11.3,11.3,6.4,4.9,1.9,3.0,0.0,98.7,1.3,3.1,5.3,221900.0,1379.0,16.3,10.0,1.6,0.0,43.7,48.8,1.2,9.8,17.1,15.9,5.3,10.3,23.6,16.4
